ip_country,ip_city,ip_lat,ip_lon,ip_timezone,local_time,user_country,user_city,amount,transaction_frequency,account_age_days,device_type,payment_method,label
India,Mumbai,19.076,72.8777,Asia/Kolkata,2024-09-20 15:37:58,India,Mumbai,3802.09,8,2183,web,credit_card,0
Japan,Tokyo,35.6895,139.6917,Asia/Tokyo,2025-01-31 19:07:58,Japan,Tokyo,1468.81,26,1350,mobile,paypal,0
Brazil,São Paulo,-23.5505,-46.6333,America/Sao_Paulo,2024-12-12 07:07:58,Brazil,São Paulo,425.81,17,763,web,voucher,0
Japan,Tokyo,35.6895,139.6917,Asia/Tokyo,2024-05-10 19:07:58,Japan,Tokyo,324.03,4,4405,web,credit_card,0
Australia,Sydney,-33.8688,151.2093,Australia/Sydney,2025-01-30 21:07:58,Australia,Sydney,4457.37,18,4008,mobile,google_pay,0
Japan,Tokyo,35.6895,139.6917,Asia/Tokyo,2024-06-20 19:07:58,Japan,Tokyo,3143.22,5,3950,mobile,paypal,0
United Kingdom,London,51.5074,-0.1278,Europe/London,2025-01-31 10:07:58,United Kingdom,London,335.55,21,712,web,apple_pay,0
United Kingdom,London,51.5074,-0.1278,Europe/London,2024-12-16 10:07:58,United Kingdom,London,3139.56,17,237,web,apple_pay,0
India,Mumbai,19.076,72.8777,Asia/Kolkata,2024-10-09 15:37:58,Japan,Tokyo,1741.57,175,96,web,paypal,1
Australia,Sydney,-33.8688,151.2093,Australia/Sydney,2024-11-01 21:07:58,South Africa,Johannesburg,7749.02,117,25,mobile,credit_card,1
France,Paris,48.8566,2.3522,Europe/Paris,2024-08-15 11:07:58,Japan,Tokyo,6228.93,114,162,web,voucher,1
India,Mumbai,19.076,72.8777,Asia/Kolkata,2024-04-01 15:37:58,India,Mumbai,3467.57,11,1568,mobile,credit_card,0
United Kingdom,London,51.5074,-0.1278,Europe/London,2024-06-11 10:07:58,United Kingdom,London,3565.9,10,2514,mobile,voucher,0
Australia,Sydney,-33.8688,151.2093,Australia/Sydney,2024-12-17 21:07:58,Australia,Sydney,3931.97,8,2060,mobile,paypal,0
United Kingdom,London,51.5074,-0.1278,Europe/London,2024-03-29 10:07:58,United Kingdom,London,3651.33,23,1023,mobile,apple_pay,0
Japan,Tokyo,35.6895,139.6917,Asia/Tokyo,2024-06-27 19:07:58,Japan,Tokyo,93.92,29,3082,mobile,apple_pay,0
United Kingdom,London,51.5074,-0.1278,Europe/London,2024-08-15 10:07:58,Canada,Toronto,6282.81,58,4,mobile,voucher,1
France,Paris,48.8566,2.3522,Europe/Paris,2025-03-06 11:07:58,France,Paris,4358.13,27,1679,web,paypal,0
Japan,Tokyo,35.6895,139.6917,Asia/Tokyo,2024-07-28 19:07:58,Germany,Berlin,9988.19,197,55,mobile,paypal,1
Germany,Berlin,52.52,13.405,Europe/Berlin,2024-06-28 11:07:58,Germany,Berlin,1868.8,10,4050,web,voucher,0
Germany,Berlin,52.52,13.405,Europe/Berlin,2025-01-15 11:07:58,Germany,Berlin,2283.22,29,922,web,apple_pay,0
India,Mumbai,19.076,72.8777,Asia/Kolkata,2024-04-06 15:37:58,India,Mumbai,1820.33,17,1375,mobile,voucher,0
United Kingdom,London,51.5074,-0.1278,Europe/London,2024-08-22 10:07:58,United Kingdom,London,3096.23,7,169,web,apple_pay,0
France,Paris,48.8566,2.3522,Europe/Paris,2024-06-21 11:07:58,France,Paris,4498.66,2,315,mobile,google_pay,0
Germany,Berlin,52.52,13.405,Europe/Berlin,2024-07-05 11:07:58,Germany,Berlin,4468.33,8,3785,web,credit_card,0
Brazil,São Paulo,-23.5505,-46.6333,America/Sao_Paulo,2024-06-05 07:07:58,India,Mumbai,6682.17,59,175,mobile,google_pay,1
United States,New York,40.7128,-74.006,America/New_York,2025-02-08 06:07:58,United States,New York,1996.58,9,366,web,google_pay,0
Canada,Toronto,43.6511,-79.3832,America/Toronto,2024-12-22 06:07:58,Canada,Toronto,4828.38,30,3378,web,voucher,0
India,Mumbai,19.076,72.8777,Asia/Kolkata,2024-10-06 15:37:58,India,Mumbai,4176.46,27,3972,web,apple_pay,0
India,Mumbai,19.076,72.8777,Asia/Kolkata,2024-10-20 15:37:58,India,Mumbai,729.43,20,1694,mobile,paypal,0
France,Paris,48.8566,2.3522,Europe/Paris,2025-03-08 11:07:58,France,Paris,1379.27,11,4768,mobile,credit_card,0
United States,New York,40.7128,-74.006,America/New_York,2024-12-21 06:07:58,United States,New York,165.08,23,385,web,credit_card,0
United States,New York,40.7128,-74.006,America/New_York,2025-01-05 06:07:58,United States,New York,1704.45,6,3673,mobile,google_pay,0
France,Paris,48.8566,2.3522,Europe/Paris,2025-02-26 11:07:58,France,Paris,2242.89,12,341,mobile,google_pay,0
Canada,Toronto,43.6511,-79.3832,America/Toronto,2024-05-10 06:07:58,Canada,Toronto,2521.9,4,3227,mobile,paypal,0
United Kingdom,London,51.5074,-0.1278,Europe/London,2024-07-03 10:07:58,United Kingdom,London,3579.55,8,915,web,voucher,0
Canada,Toronto,43.6511,-79.3832,America/Toronto,2024-11-21 06:07:58,Canada,Toronto,1372.09,1,4087,mobile,credit_card,0
Brazil,São Paulo,-23.5505,-46.6333,America/Sao_Paulo,2024-10-16 07:07:58,Brazil,São Paulo,687.75,22,4740,web,apple_pay,0
United States,New York,40.7128,-74.006,America/New_York,2024-04-05 06:07:58,United States,New York,2975.91,10,1762,web,paypal,0
Canada,Toronto,43.6511,-79.3832,America/Toronto,2024-03-26 06:07:58,Canada,Toronto,4899.63,4,3935,web,google_pay,0
Canada,Toronto,43.6511,-79.3832,America/Toronto,2024-04-24 06:07:58,France,Paris,3764.6,70,135,web,credit_card,1
Brazil,São Paulo,-23.5505,-46.6333,America/Sao_Paulo,2024-05-17 07:07:58,Brazil,São Paulo,3539.19,18,1666,web,paypal,0
South Africa,Johannesburg,-26.2041,28.0473,Africa/Johannesburg,2024-09-11 12:07:58,United Kingdom,London,2605.11,155,60,web,apple_pay,1
United States,New York,40.7128,-74.006,America/New_York,2024-09-05 06:07:58,United States,New York,4233.36,6,2875,web,paypal,0
India,Mumbai,19.076,72.8777,Asia/Kolkata,2024-11-25 15:37:58,Australia,Sydney,1997.46,180,96,web,voucher,1
United States,New York,40.7128,-74.006,America/New_York,2024-10-27 06:07:58,United States,New York,2308.02,8,4548,web,paypal,0
Brazil,São Paulo,-23.5505,-46.6333,America/Sao_Paulo,2024-04-23 07:07:58,Brazil,São Paulo,1414.23,21,212,web,google_pay,0
France,Paris,48.8566,2.3522,Europe/Paris,2024-07-07 11:07:58,France,Paris,1489.78,28,4880,web,google_pay,0
Australia,Sydney,-33.8688,151.2093,Australia/Sydney,2024-06-20 21:07:58,Australia,Sydney,3003.63,16,2080,web,voucher,0
Canada,Toronto,43.6511,-79.3832,America/Toronto,2024-04-15 06:07:58,Australia,Sydney,3171.27,120,135,web,voucher,1
United Kingdom,London,51.5074,-0.1278,Europe/London,2024-04-12 10:07:58,United Kingdom,London,3922.56,6,2390,mobile,google_pay,0
South Africa,Johannesburg,-26.2041,28.0473,Africa/Johannesburg,2025-01-10 12:07:58,South Africa,Johannesburg,1109.77,21,516,mobile,google_pay,0
France,Paris,48.8566,2.3522,Europe/Paris,2024-10-28 11:07:58,Canada,Toronto,1507.93,62,179,mobile,paypal,1
United Kingdom,London,51.5074,-0.1278,Europe/London,2024-09-28 10:07:58,Canada,Toronto,7466.91,58,164,web,paypal,1
France,Paris,48.8566,2.3522,Europe/Paris,2024-07-19 11:07:58,France,Paris,1839.46,11,4354,mobile,credit_card,0
Australia,Sydney,-33.8688,151.2093,Australia/Sydney,2024-10-16 21:07:58,Australia,Sydney,2125.6,30,90,mobile,voucher,0
Germany,Berlin,52.52,13.405,Europe/Berlin,2025-01-30 11:07:58,Brazil,São Paulo,7826.0,100,19,mobile,credit_card,1
Canada,Toronto,43.6511,-79.3832,America/Toronto,2024-10-12 06:07:58,United States,New York,7065.56,190,129,mobile,voucher,1
Canada,Toronto,43.6511,-79.3832,America/Toronto,2024-12-20 06:07:58,Canada,Toronto,3745.97,23,2940,mobile,credit_card,0
Germany,Berlin,52.52,13.405,Europe/Berlin,2024-06-09 11:07:58,Japan,Tokyo,2021.68,102,126,web,paypal,1
South Africa,Johannesburg,-26.2041,28.0473,Africa/Johannesburg,2024-05-23 12:07:58,South Africa,Johannesburg,4052.3,9,263,mobile,paypal,0
Germany,Berlin,52.52,13.405,Europe/Berlin,2024-07-01 11:07:58,United Kingdom,London,2040.0,88,83,web,voucher,1
France,Paris,48.8566,2.3522,Europe/Paris,2025-02-12 11:07:58,France,Paris,3390.69,3,4936,mobile,paypal,0
Australia,Sydney,-33.8688,151.2093,Australia/Sydney,2024-06-20 21:07:58,Australia,Sydney,1240.54,13,1916,mobile,voucher,0
France,Paris,48.8566,2.3522,Europe/Paris,2024-09-18 11:07:58,France,Paris,3692.56,9,2697,mobile,paypal,0
India,Mumbai,19.076,72.8777,Asia/Kolkata,2024-03-21 15:37:58,India,Mumbai,4524.39,16,1591,mobile,google_pay,0
India,Mumbai,19.076,72.8777,Asia/Kolkata,2025-01-19 15:37:58,India,Mumbai,4710.36,6,465,mobile,apple_pay,0
United Kingdom,London,51.5074,-0.1278,Europe/London,2024-07-30 10:07:58,United Kingdom,London,2634.12,21,1137,web,credit_card,0
United States,New York,40.7128,-74.006,America/New_York,2024-11-12 06:07:58,United States,New York,692.68,7,3745,mobile,google_pay,0
United Kingdom,London,51.5074,-0.1278,Europe/London,2024-06-07 10:07:58,Australia,Sydney,1776.61,92,125,mobile,credit_card,1
France,Paris,48.8566,2.3522,Europe/Paris,2024-10-15 11:07:58,France,Paris,1979.89,9,955,mobile,credit_card,0
India,Mumbai,19.076,72.8777,Asia/Kolkata,2024-07-02 15:37:58,India,Mumbai,972.84,7,3541,mobile,credit_card,0
France,Paris,48.8566,2.3522,Europe/Paris,2024-08-22 11:07:58,France,Paris,290.01,17,1103,mobile,paypal,0
United States,New York,40.7128,-74.006,America/New_York,2024-07-09 06:07:58,United States,New York,2975.16,9,1613,mobile,credit_card,0
Australia,Sydney,-33.8688,151.2093,Australia/Sydney,2024-10-19 21:07:58,Australia,Sydney,4763.21,25,1422,web,credit_card,0
United States,New York,40.7128,-74.006,America/New_York,2024-04-03 06:07:58,United States,New York,1092.26,15,806,mobile,apple_pay,0
Brazil,São Paulo,-23.5505,-46.6333,America/Sao_Paulo,2025-03-10 07:07:58,Germany,Berlin,3281.12,154,110,web,paypal,1
United Kingdom,London,51.5074,-0.1278,Europe/London,2024-11-23 10:07:58,United Kingdom,London,2469.66,11,3620,web,credit_card,0
Japan,Tokyo,35.6895,139.6917,Asia/Tokyo,2024-06-12 19:07:58,Japan,Tokyo,2994.94,11,4368,web,apple_pay,0
France,Paris,48.8566,2.3522,Europe/Paris,2024-04-13 11:07:58,France,Paris,1423.69,7,4761,web,google_pay,0
Japan,Tokyo,35.6895,139.6917,Asia/Tokyo,2025-02-23 19:07:58,Japan,Tokyo,32.76,5,769,mobile,google_pay,0
Germany,Berlin,52.52,13.405,Europe/Berlin,2025-01-11 11:07:58,Germany,Berlin,3070.44,19,1184,web,apple_pay,0
Germany,Berlin,52.52,13.405,Europe/Berlin,2025-02-20 11:07:58,Germany,Berlin,3441.35,3,45,mobile,google_pay,0
Germany,Berlin,52.52,13.405,Europe/Berlin,2024-11-02 11:07:58,India,Mumbai,6983.18,125,37,mobile,apple_pay,1
Brazil,São Paulo,-23.5505,-46.6333,America/Sao_Paulo,2024-12-12 07:07:58,Brazil,São Paulo,1862.75,24,4763,mobile,voucher,0
Australia,Sydney,-33.8688,151.2093,Australia/Sydney,2024-10-23 21:07:58,Australia,Sydney,3042.27,15,2701,mobile,paypal,0
United States,New York,40.7128,-74.006,America/New_York,2024-04-28 06:07:58,United States,New York,19.81,4,4944,mobile,google_pay,0
Japan,Tokyo,35.6895,139.6917,Asia/Tokyo,2025-02-23 19:07:58,Japan,Tokyo,1013.38,26,4048,web,google_pay,0
Australia,Sydney,-33.8688,151.2093,Australia/Sydney,2024-10-15 21:07:58,Australia,Sydney,4852.87,17,1978,web,apple_pay,0
United States,New York,40.7128,-74.006,America/New_York,2024-07-12 06:07:58,United States,New York,2811.48,68,127,web,apple_pay,1
India,Mumbai,19.076,72.8777,Asia/Kolkata,2024-06-13 15:37:58,India,Mumbai,3480.86,11,2241,mobile,apple_pay,0
Australia,Sydney,-33.8688,151.2093,Australia/Sydney,2024-08-30 21:07:58,United Kingdom,London,6027.3,173,173,mobile,google_pay,1
Germany,Berlin,52.52,13.405,Europe/Berlin,2024-11-21 11:07:58,Germany,Berlin,1096.17,2,2191,mobile,apple_pay,0
Canada,Toronto,43.6511,-79.3832,America/Toronto,2024-05-11 06:07:58,Canada,Toronto,1656.36,13,4804,web,credit_card,0
Brazil,São Paulo,-23.5505,-46.6333,America/Sao_Paulo,2024-12-27 07:07:58,Brazil,São Paulo,630.28,11,3711,mobile,google_pay,0
France,Paris,48.8566,2.3522,Europe/Paris,2024-10-04 11:07:58,France,Paris,2865.39,11,2027,web,credit_card,0
Germany,Berlin,52.52,13.405,Europe/Berlin,2025-02-07 11:07:58,Germany,Berlin,830.65,27,3182,web,paypal,0
United States,New York,40.7128,-74.006,America/New_York,2025-01-13 06:07:58,United States,New York,3506.88,15,4778,web,apple_pay,0
Japan,Tokyo,35.6895,139.6917,Asia/Tokyo,2024-06-26 19:07:58,United States,New York,9563.93,117,73,web,google_pay,1
United States,New York,40.7128,-74.006,America/New_York,2024-07-18 06:07:58,United States,New York,3465.69,13,2202,web,voucher,0
United States,New York,40.7128,-74.006,America/New_York,2024-05-16 06:07:58,United States,New York,1153.09,19,399,mobile,apple_pay,0
Germany,Berlin,52.52,13.405,Europe/Berlin,2024-08-27 11:07:58,Germany,Berlin,3814.94,2,1707,mobile,voucher,0
United Kingdom,London,51.5074,-0.1278,Europe/London,2024-07-15 10:07:58,United Kingdom,London,3929.16,22,2395,mobile,google_pay,0
Germany,Berlin,52.52,13.405,Europe/Berlin,2025-03-10 11:07:58,Germany,Berlin,302.52,20,3724,web,paypal,0
Germany,Berlin,52.52,13.405,Europe/Berlin,2024-06-20 11:07:58,Germany,Berlin,1770.38,20,2770,mobile,credit_card,0
Japan,Tokyo,35.6895,139.6917,Asia/Tokyo,2024-04-29 19:07:58,Japan,Tokyo,2537.97,21,4219,mobile,voucher,0
United States,New York,40.7128,-74.006,America/New_York,2024-11-09 06:07:58,United States,New York,4478.38,11,1030,mobile,credit_card,0
Japan,Tokyo,35.6895,139.6917,Asia/Tokyo,2025-01-20 19:07:58,Australia,Sydney,3646.49,82,73,mobile,voucher,1
France,Paris,48.8566,2.3522,Europe/Paris,2024-05-01 11:07:58,Japan,Tokyo,7195.39,125,131,web,credit_card,1
South Africa,Johannesburg,-26.2041,28.0473,Africa/Johannesburg,2024-06-07 12:07:58,South Africa,Johannesburg,1988.96,11,3163,web,credit_card,0
India,Mumbai,19.076,72.8777,Asia/Kolkata,2024-10-21 15:37:58,France,Paris,8593.7,116,178,mobile,paypal,1
South Africa,Johannesburg,-26.2041,28.0473,Africa/Johannesburg,2024-05-15 12:07:58,South Africa,Johannesburg,2936.84,27,1323,mobile,voucher,0
Japan,Tokyo,35.6895,139.6917,Asia/Tokyo,2024-07-08 19:07:58,Japan,Tokyo,1413.49,7,330,mobile,paypal,0
South Africa,Johannesburg,-26.2041,28.0473,Africa/Johannesburg,2024-05-16 12:07:58,South Africa,Johannesburg,2266.69,13,83,web,google_pay,0
Japan,Tokyo,35.6895,139.6917,Asia/Tokyo,2024-08-07 19:07:58,Japan,Tokyo,4805.55,21,3322,mobile,apple_pay,0
India,Mumbai,19.076,72.8777,Asia/Kolkata,2024-12-30 15:37:58,Germany,Berlin,8582.77,50,21,mobile,google_pay,1
United States,New York,40.7128,-74.006,America/New_York,2024-09-08 06:07:58,United States,New York,4920.19,21,1990,web,paypal,0
Brazil,São Paulo,-23.5505,-46.6333,America/Sao_Paulo,2024-12-08 07:07:58,Brazil,São Paulo,429.68,7,1609,mobile,credit_card,0
France,Paris,48.8566,2.3522,Europe/Paris,2025-01-25 11:07:58,France,Paris,2618.43,14,3615,mobile,google_pay,0
United States,New York,40.7128,-74.006,America/New_York,2024-10-05 06:07:58,United States,New York,3132.6,23,3736,mobile,google_pay,0
Australia,Sydney,-33.8688,151.2093,Australia/Sydney,2024-07-11 21:07:58,United Kingdom,London,9593.6,184,106,web,google_pay,1
Australia,Sydney,-33.8688,151.2093,Australia/Sydney,2024-03-22 21:07:58,Australia,Sydney,2117.89,15,2231,mobile,paypal,0
Brazil,São Paulo,-23.5505,-46.6333,America/Sao_Paulo,2024-04-03 07:07:58,Brazil,São Paulo,3679.44,26,4194,web,voucher,0
Brazil,São Paulo,-23.5505,-46.6333,America/Sao_Paulo,2024-08-29 07:07:58,Brazil,São Paulo,3974.48,19,3815,web,credit_card,0
India,Mumbai,19.076,72.8777,Asia/Kolkata,2024-12-31 15:37:58,India,Mumbai,3053.21,4,2277,mobile,voucher,0
Germany,Berlin,52.52,13.405,Europe/Berlin,2025-02-03 11:07:58,Germany,Berlin,4515.11,18,3624,mobile,credit_card,0
Canada,Toronto,43.6511,-79.3832,America/Toronto,2024-11-09 06:07:58,Canada,Toronto,4797.81,14,1630,mobile,paypal,0
South Africa,Johannesburg,-26.2041,28.0473,Africa/Johannesburg,2024-08-17 12:07:58,South Africa,Johannesburg,8028.96,112,71,mobile,google_pay,1
Canada,Toronto,43.6511,-79.3832,America/Toronto,2025-01-12 06:07:58,Canada,Toronto,4439.92,14,814,web,apple_pay,0
Canada,Toronto,43.6511,-79.3832,America/Toronto,2025-02-14 06:07:58,Canada,Toronto,2794.03,9,347,mobile,google_pay,0
United Kingdom,London,51.5074,-0.1278,Europe/London,2024-08-09 10:07:58,United Kingdom,London,1407.19,7,2039,mobile,google_pay,0
Germany,Berlin,52.52,13.405,Europe/Berlin,2024-09-07 11:07:58,Germany,Berlin,582.32,23,516,web,paypal,0
South Africa,Johannesburg,-26.2041,28.0473,Africa/Johannesburg,2025-02-26 12:07:58,South Africa,Johannesburg,2169.39,19,535,mobile,apple_pay,0
France,Paris,48.8566,2.3522,Europe/Paris,2024-12-11 11:07:58,France,Paris,637.18,26,3721,mobile,voucher,0
Australia,Sydney,-33.8688,151.2093,Australia/Sydney,2025-02-18 21:07:58,Australia,Sydney,1036.72,3,4164,web,voucher,0
United Kingdom,London,51.5074,-0.1278,Europe/London,2024-07-20 10:07:58,United Kingdom,London,1118.27,27,600,web,apple_pay,0
Canada,Toronto,43.6511,-79.3832,America/Toronto,2024-09-12 06:07:58,Canada,Toronto,1502.13,3,4399,mobile,voucher,0
Brazil,São Paulo,-23.5505,-46.6333,America/Sao_Paulo,2024-07-08 07:07:58,Brazil,São Paulo,3058.2,27,3135,web,google_pay,0
Australia,Sydney,-33.8688,151.2093,Australia/Sydney,2024-10-10 21:07:58,Australia,Sydney,4734.58,19,2869,web,paypal,0
United States,New York,40.7128,-74.006,America/New_York,2024-07-15 06:07:58,United States,New York,2291.42,6,567,mobile,credit_card,0
Canada,Toronto,43.6511,-79.3832,America/Toronto,2025-02-13 06:07:58,Canada,Toronto,1929.94,22,3543,mobile,credit_card,0
United Kingdom,London,51.5074,-0.1278,Europe/London,2024-05-29 10:07:58,United Kingdom,London,1211.61,9,3989,mobile,credit_card,0
Japan,Tokyo,35.6895,139.6917,Asia/Tokyo,2024-04-10 19:07:58,Japan,Tokyo,4499.91,28,939,mobile,paypal,0
Brazil,São Paulo,-23.5505,-46.6333,America/Sao_Paulo,2024-07-16 07:07:58,Brazil,São Paulo,5925.35,149,73,web,voucher,1
Brazil,São Paulo,-23.5505,-46.6333,America/Sao_Paulo,2024-11-01 07:07:58,Brazil,São Paulo,4783.23,21,2525,mobile,credit_card,0
India,Mumbai,19.076,72.8777,Asia/Kolkata,2024-12-03 15:37:58,India,Mumbai,3627.72,17,1764,mobile,apple_pay,0
United States,New York,40.7128,-74.006,America/New_York,2024-10-12 06:07:58,United States,New York,3489.77,24,588,mobile,voucher,0
India,Mumbai,19.076,72.8777,Asia/Kolkata,2024-03-25 15:37:58,India,Mumbai,3871.39,26,921,web,credit_card,0
Brazil,São Paulo,-23.5505,-46.6333,America/Sao_Paulo,2024-05-26 07:07:58,Brazil,São Paulo,1007.84,28,4938,mobile,apple_pay,0
Brazil,São Paulo,-23.5505,-46.6333,America/Sao_Paulo,2024-08-05 07:07:58,Brazil,São Paulo,239.65,17,4662,mobile,google_pay,0
Brazil,São Paulo,-23.5505,-46.6333,America/Sao_Paulo,2024-07-13 07:07:58,Brazil,São Paulo,4799.95,11,3578,web,apple_pay,0
Germany,Berlin,52.52,13.405,Europe/Berlin,2024-04-11 11:07:58,Germany,Berlin,1991.03,29,1584,mobile,google_pay,0
Japan,Tokyo,35.6895,139.6917,Asia/Tokyo,2025-02-15 19:07:58,Japan,Tokyo,4749.36,15,1264,web,voucher,0
Japan,Tokyo,35.6895,139.6917,Asia/Tokyo,2024-06-10 19:07:58,Japan,Tokyo,2722.79,30,2950,web,voucher,0
United States,New York,40.7128,-74.006,America/New_York,2024-12-17 06:07:58,United States,New York,822.13,27,2920,mobile,apple_pay,0
Canada,Toronto,43.6511,-79.3832,America/Toronto,2024-04-27 06:07:58,Canada,Toronto,1494.65,14,2669,mobile,google_pay,0
Australia,Sydney,-33.8688,151.2093,Australia/Sydney,2025-01-06 21:07:58,Australia,Sydney,4272.04,7,1483,web,google_pay,0
United States,New York,40.7128,-74.006,America/New_York,2024-11-26 06:07:58,Canada,Toronto,7929.26,58,164,mobile,apple_pay,1
Canada,Toronto,43.6511,-79.3832,America/Toronto,2024-04-23 06:07:58,Canada,Toronto,4362.14,8,4263,mobile,apple_pay,0
India,Mumbai,19.076,72.8777,Asia/Kolkata,2024-08-19 15:37:58,India,Mumbai,3134.68,10,3698,mobile,credit_card,0
United Kingdom,London,51.5074,-0.1278,Europe/London,2024-05-06 10:07:58,United Kingdom,London,1583.33,29,4901,web,google_pay,0
France,Paris,48.8566,2.3522,Europe/Paris,2024-05-24 11:07:58,France,Paris,2425.86,20,35,web,paypal,0
Australia,Sydney,-33.8688,151.2093,Australia/Sydney,2024-11-21 21:07:58,Australia,Sydney,825.37,15,358,mobile,google_pay,0
France,Paris,48.8566,2.3522,Europe/Paris,2024-08-13 11:07:58,France,Paris,3476.9,13,4036,mobile,apple_pay,0
Japan,Tokyo,35.6895,139.6917,Asia/Tokyo,2024-07-02 19:07:58,Japan,Tokyo,2357.52,6,4015,mobile,google_pay,0
Australia,Sydney,-33.8688,151.2093,Australia/Sydney,2024-09-14 21:07:58,Australia,Sydney,2078.33,28,3873,web,paypal,0
Australia,Sydney,-33.8688,151.2093,Australia/Sydney,2025-02-27 21:07:58,Australia,Sydney,3322.74,16,4927,mobile,voucher,0
Japan,Tokyo,35.6895,139.6917,Asia/Tokyo,2024-07-10 19:07:58,Japan,Tokyo,3179.61,9,2660,mobile,credit_card,0
Brazil,São Paulo,-23.5505,-46.6333,America/Sao_Paulo,2024-04-06 07:07:58,Brazil,São Paulo,4200.98,22,4568,web,google_pay,0
Australia,Sydney,-33.8688,151.2093,Australia/Sydney,2024-06-21 21:07:58,Australia,Sydney,4959.0,11,4514,mobile,google_pay,0
United Kingdom,London,51.5074,-0.1278,Europe/London,2024-11-23 10:07:58,United Kingdom,London,3268.95,29,1000,web,apple_pay,0
Australia,Sydney,-33.8688,151.2093,Australia/Sydney,2024-07-07 21:07:58,Australia,Sydney,1359.19,20,466,mobile,credit_card,0
Australia,Sydney,-33.8688,151.2093,Australia/Sydney,2024-07-22 21:07:58,Australia,Sydney,3835.33,30,106,web,paypal,0
Canada,Toronto,43.6511,-79.3832,America/Toronto,2024-04-29 06:07:58,Canada,Toronto,1775.73,14,3316,mobile,google_pay,0
France,Paris,48.8566,2.3522,Europe/Paris,2024-06-29 11:07:58,France,Paris,4232.18,10,1831,mobile,google_pay,0
India,Mumbai,19.076,72.8777,Asia/Kolkata,2025-03-08 15:37:58,India,Mumbai,4519.92,12,70,web,credit_card,0
India,Mumbai,19.076,72.8777,Asia/Kolkata,2025-02-24 15:37:58,India,Mumbai,372.22,17,987,web,paypal,0
Canada,Toronto,43.6511,-79.3832,America/Toronto,2024-05-13 06:07:58,Canada,Toronto,4254.57,14,1711,mobile,google_pay,0
France,Paris,48.8566,2.3522,Europe/Paris,2024-07-03 11:07:58,France,Paris,2941.88,23,4897,web,voucher,0
Canada,Toronto,43.6511,-79.3832,America/Toronto,2024-06-24 06:07:58,Canada,Toronto,1559.3,22,1855,web,paypal,0
United Kingdom,London,51.5074,-0.1278,Europe/London,2024-07-17 10:07:58,United Kingdom,London,3608.96,30,2324,web,voucher,0
Australia,Sydney,-33.8688,151.2093,Australia/Sydney,2024-12-13 21:07:58,Germany,Berlin,1503.04,50,168,mobile,apple_pay,1
Australia,Sydney,-33.8688,151.2093,Australia/Sydney,2024-07-09 21:07:58,Australia,Sydney,4233.34,17,1293,web,voucher,0
Germany,Berlin,52.52,13.405,Europe/Berlin,2024-09-18 11:07:58,Canada,Toronto,1450.43,52,148,web,paypal,1
Japan,Tokyo,35.6895,139.6917,Asia/Tokyo,2025-01-15 19:07:58,Japan,Tokyo,3991.07,9,4826,web,paypal,0
Japan,Tokyo,35.6895,139.6917,Asia/Tokyo,2024-11-23 19:07:58,Japan,Tokyo,3193.7,8,3960,web,apple_pay,0
